Batch mtDNA	Sequence Released Date	No. of Samples	Analysis Code	Batch mtDNA-Analysis Code	Analyst(s)	Batch Receive Time	No. of Samples Analysed by Sequencher	Sequencher Analysis Transfer Time	1st Review	Review Finish	2nd Review	No. of Samples Passed by Sequencher Analysis (1st run)	No. of Samples Passed by Sequencher Analysis (rerun)	No. of Samples Passed by Sequencher Analysis Transfered to Next Stage	Sequencher Analysis Results from Lab to Sciences Date	Sequencher Analysis (Batches)	Analyst(s).1	Sequencher vs Pipeline Comparison	Regenerated Reports by the Science Team	Regenerated Reports Realeased Date	Numbers of Reports Released	Reports Check by Nam	Final Reports	Note1	Done	Run1 Analysis Results Released Date	Rerun Analysis Results Released Date	Note1.1	Note 2	Note 2.1	Unnamed: 31
mtDNA_183	2025-08-06	90			HP	-	90.0	-	-	-	-	88.0	2												DONE	2025-08-07	2025-10-20	Thanh Hóa			
mtDNA_184	2025-08-07	90			HQ	-	90.0	-	-	-	-	88.0	2												DONE	2025-08-08	2025-10-20	Thanh Hóa			
mtDNA_185	2025-08-07	90			PT	-	90.0	-	-	-	-	88.0	2												DONE	2025-08-08	2025-10-20	Thanh Hóa			
mtDNA_206	2025-08-08	90			HPQT	-	90.0	-	-	-	-	86.0													 	2025-08-11		Thanh Hóa			
mtDNA_186	2025-08-09	90			PT	-	90.0	-	-	-	-	87.0	3												DONE	2025-08-12	2025-10-20	Thanh Hóa			
mtDNA_187	2025-08-09	90			HQ	-	90.0	-	-	-	-	88.0													 	2025-08-14		Thanh Hóa			
mtDNA_188	2025-08-09	90			HQ	-	90.0	-	-	-	-	89.0													 	2025-08-11		Thanh Hóa			
mtDNA_189	2025-08-10	90			PT	-	90.0	-	-	-	-	85.0													 	2025-08-12		Thanh Hóa			
mtDNA_191	2025-08-11	90			PT	-	90.0	-	-	-	-	87.0	3												DONE	2025-08-14	2025-10-20	Thanh Hóa			
mtDNA_207	2025-08-18	90			HP	-	90.0	-	-	-	-	86.0													 	2025-08-19		Thanh Hóa			
mtDNA_208	2025-08-18	90			Q	-	90.0	-	-	-	-	89.0	1												DONE	2025-08-20	2025-10-20	Thanh Hóa			
mtDNA_209	2025-08-18	90			HP	-	90.0	-	-	-	-	88.0	2												DONE	2025-08-19	2025-10-20	Thanh Hóa			
mtDNA_192	2025-08-19	90			HPQTX	-	90.0	-	-	-	-	87.0	3												DONE	2025-08-21	2026-01-15	Thanh Hóa			
mtDNA_210	2025-08-20	90			PT	-	90.0	-	-	-	-	88.0	2												DONE	2025-08-20	2025-10-20	Thanh Hóa			
mtDNA_211	2025-08-21	90			HT	-	90.0	-	-	-	-	87.0													 	2025-08-21		Thanh Hóa			
mtDNA_212	2025-08-21	90			Q	-	90.0	-	-	-	-	87.0													 	2025-08-22		Thanh Hóa			
mtDNA_213	2025-08-21	90			PT	-	90.0	-	-	-	-	87.0													 	2025-08-22		Thanh Hóa			
mtDNA_214	2025-08-22	90			HT	-	90.0	-	-	-	-	85.0	5												DONE	2025-08-22	2025-10-20	Thanh Hóa			
mtDNA_194	2025-08-22	90			Q	-	90.0	-	Q	-	N	89.0													 	2025-08-26		Thanh Hóa			
mtDNA_195	2025-08-25	90			HP	-	90.0	-	-	-	-	88.0	2												DONE	2025-08-25	2025-10-20	Thanh Hóa			
mtDNA_196	2025-08-25	90			T	-	90.0	-	-	-	-	85.0	5												DONE	2025-08-26	2025-10-20	Thanh Hóa			
mtDNA_197	2025-08-25	90			P	-	90.0	-	-	-	-	82.0													 	2025-08-27		Thanh Hóa			
mtDNA_198	2025-08-25	90			H	-	90.0	-	-	-	-	86.0													 	2025-08-26		Thanh Hóa			
mtDNA_199	2025-08-25	90			T	-	90.0	-	T	-	N	88.0	2												DONE	2025-08-27	2025-10-20	Thanh Hóa			
mtDNA_200	2025-08-25	90			Q	-	90.0	-	Q	-	N	88.0	2												DONE	2025-08-28	2025-10-20	Thanh Hóa			
mtDNA_201	2025-08-26	90			P	-	90.0	-	P	-	N	86.0													 	2025-08-28		Thanh Hóa			
mtDNA_202	2025-08-26	90			XT	-	90.0	-	T	-	N	81.0													 	2025-08-29		Thanh Hóa			
mtDNA_227	2025-08-26	90			H	-	90.0	-	H	-	N	88.0	2												DONE	2025-08-27	2025-10-20	Thanh Hóa + 9 ưu tiên			
mtDNA_203	2025-08-27	90			XT	-	90.0	-	TP	-	N	85.0													 	2025-08-29		Thanh Hóa			
mtDNA_204	2025-08-27	90			Q	-	90.0	-	Q	-	N	85.0													 	2025-08-29		Thanh Hóa			
mtDNA_215	2025-08-27	90			H	-	90.0	-	H	-	N	85.0													 	2025-08-28		Thanh Hóa + 1 ưu tiên			
mtDNA_218	2025-08-28	90			P	-	90.0	-	P	-	N	82.0													 	2025-09-03		Thanh Hóa			
mtDNA_216	2025-08-29	90			X	-	90.0	-	QP	-	N	84.0	6												DONE	2025-09-05	2025-10-20	Thanh Hóa			
mtDNA_217	2025-08-29	90			PQ	-	90.0	-	QP	-	N	89.0	1												DONE	2025-09-05	2026-01-15	Thanh Hóa			
mtDNA_219	2025-09-03	90			HT	-	90.0	-	HP	-	N	87.0													 	2025-09-03		Thanh Hóa			
mtDNA_220	2025-09-03	90			HTX	-	90.0	-	TP	-	N	83.0													 	2025-09-05		Thanh Hóa			
mtDNA_205	2025-09-03	90			HX	-	90.0	-	HP	-	N	89.0	1												DONE	2025-09-05	2025-10-20	Thanh Hóa			
mtDNA_221	2025-09-04	90			HX	-	90.0	-	HP	-	N	83.0													 	2025-09-10		Thanh Hóa			
mtDNA_222	2025-09-05	90			XT	-	90.0	-	T	-	PN	89.0	1												DONE	2025-09-11	2025-10-20	Thanh Hóa			
mtDNA_223	2025-09-05	90			H	-	90.0	-	H	-	PN	80.0	10												DONE	2025-09-11	2025-10-20	Thanh Hóa			
mtDNA_193	2025-09-05	90			HT	-	90.0	-	H	-	PN	86.0	4												DONE	2025-09-11	2025-10-20	Thanh Hóa			
mtDNA_228	2025-09-10	90			X	-	90.0	-	T	-	HN	88.0													 	2025-09-12		Thanh Hóa + Cà Mau + Kiên Giang + Sơn La			
mtDNA_224	2025-09-18	90			T	-	90.0	-	T	-	HN	89.0	1												DONE	2025-09-19	2026-01-28	Thanh Hóa			
mtDNA_226	2025-09-18	90			HQ	-	90.0	-	QP	-	N	89.0	1												DONE	2025-09-19	2026-01-28	Thanh Hóa			
mtDNA_225	2025-09-18	90			X	-	90.0	-	P	-	PN	82.0	8												DONE	2025-09-22	2026-01-28	Thanh Hóa			
mtDNA_230	2025-09-18	90			H	-	90.0	-	H	-	N	84.0	6												DONE	2025-09-19	2026-01-28	Thanh Hóa			
mtDNA_231	2025-09-18	90			T	-	90.0	-	T	-	PN	88.0	2												DONE	2025-09-22	2026-01-28	Thanh Hóa			
mtDNA_232	2025-09-19	90			Q	-	90.0	-	QP	-	N	84.0	6												DONE	2025-09-24	2026-01-28	Thanh Hóa			
mtDNA_233	2025-09-19	90			HT	-	90.0	-	H	-	N	87.0													 	2025-09-22		Thanh Hóa			
mtDNA_235	2025-09-24	90			X	-	90.0	-	H	-	N	81.0	9												DONE	2025-09-29	2026-01-28	Thanh Hóa + 1 ưu tiên Bình phước			
mtDNA_236	2025-09-25	90			T	-	90.0	-	H	-	N	83.0	7												DONE	2025-09-26	2026-01-28	Thanh Hóa + 7 ưu tiên			
mtDNA_237	2025-09-25	90			T	-	90.0	-	HT	-	N	89.0	1												DONE	2025-09-29	2026-01-28	Thanh Hóa + 3 ưu tiên			
mtDNA_238	2025-09-25	90			Q	-	90.0	-	H	-	N	86.0	4												DONE	2025-09-29	2026-01-28	Thanh Hóa + 1 ưu tiên Sơn La			
mtDNA_234	2025-09-27	90			T	-	90.0	-	H	-	N	86.0	4												DONE	2025-09-30	2026-01-28	Thanh Hóa			
mtDNA_244	2025-09-27	90			X	-	90.0	-	H	-	N	88.0	2												DONE	2025-10-02	2026-01-28	Thanh Hóa + 2 ưu tiên Đức Cơ			
mtDNA_239	2025-09-29	90			Q	-	90.0	-	HQ	-	N	86.0	4												DONE	2025-10-02	2026-01-28	Thanh Hóa			
mtDNA_240	2025-09-29	90			HT	-	90.0	-	HT	-	N	85.0	4												 	2025-10-02	2026-01-28	Thanh Hóa			
mtDNA_241	2025-10-01	90			X	-	90.0	-	H	-	N	89.0	1												DONE	2025-10-06	2026-01-28	Thanh Hóa			
mtDNA_242	2025-10-01	90			Q	-	90.0	-	HQ	-	N	87.0	3												DONE	2025-10-06	2026-01-15	Thanh Hóa			
mtDNA_243	2025-10-01	90			H	-	90.0	-	H	-	N	88.0	2												DONE	2025-10-06	2026-01-28	Thanh Hóa			
mtDNA_245	2025-10-02	90			Q	-	90.0	-	HQ	-	N	89.0	1												DONE	2025-10-08	2026-01-28	Thanh Hóa			
mtDNA_246	2025-10-02	90			X	-	90.0	-	H	-	N	88.0	2												DONE	2025-10-08	2026-01-28	Thanh Hóa			
mtDNA_247	2025-10-05	90			Q	-	90.0	-	HQ	-	N	88.0	2												DONE	2025-10-08	2026-01-30	Thanh Hóa			
mtDNA_248	2025-10-05	90			X	-	90.0	-	H	-	N	89.0	1												DONE	2025-10-10	2026-01-30	Thanh Hóa			
mtDNA_249	2025-10-05	90			T	-	90.0	-	HT	-	N	86.0	4												DONE	2025-10-08	2026-01-30	Thanh Hóa			
mtDNA_250	2025-10-07	90			Q	-	90.0	-	HQ	-	N	86.0	4												DONE	2025-10-10	2026-01-15	Thanh Hóa			
mtDNA_229	2025-10-07	90			T	-	90.0	-	HT	-	N	89.0	1												DONE	2025-10-10	2026-01-30	Thanh Hóa			
mtDNA_251	2025-10-09	90			X	-	90.0	-	H	-	N	88.0	2												DONE	2025-10-10	2026-01-30	Thanh Hóa			
mtDNA_252	2025-10-09	90			Q	-	90.0	-	HQ	-	N	86.0	4												DONE	2025-10-10	2026-01-30	Thanh Hóa			
mtDNA_253	2025-10-10	90			XT	-	90.0	-	H	-	N	87.0	3												DONE	2025-10-14	2026-01-15	Thanh Hóa			
mtDNA_254	2025-10-10	90			Q	-	90.0	-	HQ	-	N	87.0	3												DONE	2025-10-14	2026-01-15	Thanh Hóa			
mtDNA_255	2025-10-11	90			X	-	90.0	-	H	-	N	89.0	1												DONE	2025-10-14	2026-01-30	Thanh Hóa			
mtDNA_257	2025-10-17	90			Q	-	90.0	-	HQ	-	N	87.0	3												DONE	2025-10-22	2026-01-15	Thanh Hóa			
mtDNA_258	2025-10-17	90			X	-	90.0	-	H	-	N	85.0	5												DONE	2025-10-22	2026-01-30	Thanh Hóa			
mtDNA_259	2025-10-15	90			PQT	-	90.0	-	P	-	N	86.0	4												DONE	2025-10-16	2026-01-30	Thanh Hóa			
mtDNA_256	2025-10-16	90			TQ	-	90.0	-	H	-	N	82.0													 	2025-10-17		Thanh Hóa			
mtDNA_260	2025-10-17	90			T	-	90.0	-	HT	-	N	87.0	3												DONE	2025-10-20	2026-01-30	Thanh Hóa			
mtDNA_261	2025-10-17	90			Q	-	90.0	-	HQ	-	N	89.0	1												DONE	2025-10-22	2026-01-30	Thanh Hóa			
mtDNA_262	2025-10-20	90			X	-	90.0	-	H	-	N	85.0													 	2025-10-22		Thanh Hóa			
mtDNA_263	2025-10-20	90			T	-	90.0	-	H	-	N	87.0	3												DONE	2025-10-22	2026-01-30	Thanh Hóa			
MS_091025_001	2025-10-20	90			T	-	90.0	-	HP	-	N	88.0													 	2025-11-25		Thanh Hóa - test hệ thống	 Phê duyệt trên LIMS	Back up trên NAS (88o90_20251125)	
mtDNA_264	2025-10-21	90			Q	-	90.0	-	H	-	N	89.0	1												DONE	2025-10-22	2026-01-30	Thanh Hóa			
mtDNA_265	2025-10-21	90			T	-	90.0	-	H	-	N	88.0	2												DONE	2025-10-24	2026-01-15	Thanh Hóa			
mtDNA_266	2025-10-22	90			X	-	90.0	-	H	-	N	87.0	3												DONE	2025-10-24	2026-01-30	Thanh Hóa			
mtDNA_267	2025-10-22	90			TQ	-	90.0	-	H	-	N	88.0													 	2025-10-24		Thanh Hóa			
mtDNA_268	2025-10-23	90			X	-	90.0	-	HT	-	N	87.0	3												DONE	2025-10-28	2026-01-15	Thanh Hóa + 1 ưu tiên			
mtDNA_269	2025-10-23	90			T	-	90.0	-	-	-	N	86.0													 	2025-10-24		Thanh Hóa + 1 ưu tiên			
mtDNA_270	2025-10-24	90			Q	-	90.0	-	P	-	N	88.0	2												DONE	2025-10-29	2026-01-15	Thanh Hóa			
mtDNA_283	2025-10-24	92			T	-	92.0	-	H	-	N	91.0	1												DONE	2025-10-28	2026-01-30	Thanh Hóa			
mtDNA_271	2025-10-24	90			HX	-	90.0	-	H	-	N	88.0	2												DONE	2025-10-29	2026-01-30	Thanh Hóa			
mtDNA_272	2025-10-28	90			X	-	90.0	-	P	-	N	89.0	1												DONE	2025-10-29	2026-01-30	Thanh Hóa			
mtDNA_273	2025-10-28	90			Q	-	90.0	-	P	-	N	90.0	-												DONE	2025-10-31		Thanh Hóa			
mtDNA_274	2025-10-28	90			T	-	90.0	-	P	-	N	89.0	1												DONE	2025-10-31	2026-01-30	Thanh Hóa			
mtDNA_275	2025-10-29	90			X	-	90.0	-	P	-	N	90.0	-												DONE	2025-10-31		Thanh Hóa			
mtDNA_276	2025-10-29	92			XT	-	92.0	-	P	-	N	92.0	-												DONE	2025-10-30		Thanh Hóa + 2 ưu tiên Ninh Bình			
mtDNA_277	2025-10-29	92			TQ	-	92.0	-	P	-	N	92.0	-												DONE	2025-10-30		Thanh Hóa + 2 ưu tiên Ninh Bình			
mtDNA_278_L1	2025-10-30	12			P	-	12.0	-	P	-	N	10.0	2												DONE	2025-10-30	2025-10-31	Thanh Hóa + 12 ưu tiên			
mtDNA_278_L2	2025-10-30	90			T	-	90.0	-	P	-	N	88.0	2												DONE	2025-11-03	2026-01-30	Thanh Hóa			
mtDNA_279	2025-10-31	90			X	-	90.0	-	P	-	N	90.0	-												DONE	2025-11-04		Thanh Hóa			
mtDNA_280	2025-10-31	90			T	-	90.0	-	P	-	N	83.0	7												DONE	2025-11-04	2026-01-30	Thanh Hóa			
mtDNA_281	2025-10-31	90			X	-	90.0	-	P	-	N	89.0	1												DONE	2025-11-06	2026-01-15	Thanh Hóa			
mtDNA_282	2025-11-01	90			Q	-	90.0	-	P	-	N	87.0													 	2025-11-07		Thanh Hóa			
mtDNA_284	2025-11-01	90			T	-	90.0	-	P	-	N	87.0	3												DONE	2025-11-06	2026-01-15	Thanh Hóa			
mtDNA_285	2025-11-03	90			Q	-	90.0	-	P	-	N	88.0													 	2025-11-06		Thanh Hóa			
mtDNA_286	2025-11-03	90			T	-	90.0	-	P	-	N	86.0													 	2025-11-06		Thanh Hóa			
mtDNA_287	2025-11-04	90			X	-	90.0	-	P	-	N	81.0													 	2025-11-07		Thanh Hóa			
mtDNA_288	2025-11-04	90			Q	-	90.0	-	P	-	N	90.0	-												DONE	2025-11-06		Thanh Hóa			
mtDNA_290	2025-11-05	90			T	-	90.0	-	P	-	N	84.0	6												DONE	2025-11-07	2026-01-15	Thanh Hóa			
mtDNA_291	2025-11-06	90			X	-	90.0	-	H	-	N	82.0	8												DONE	2025-11-10	2026-01-15	Thanh Hóa			
mtDNA_289	2025-11-06	90			T	-	90.0	-	H	-	N	87.0													 	2025-11-10		Thanh Hóa			
mtDNA_292	2025-11-07	90			Q	-	90.0	-	P	-	N	89.0													 	2025-11-10		Thanh Hóa			
mtDNA_294	2025-11-07	90			T	-	90.0	-	P	-	N	87.0													 	2025-11-11		Thanh Hóa			
mtDNA_295	2025-11-10	90			HQ	-	90.0	-	P	-	N	85.0													 	2025-11-11		Thanh Hóa			
mtDNA_293	2025-11-11	90			QX	-	90.0	-	H	-	N	84.0	6												DONE	2025-11-12	2026-01-15	Thanh Hóa			
mtDNA_296	2025-11-11	90			T	-	90.0	-	P	-	N	88.0	2												DONE	2025-11-12	2026-01-15	Thanh Hóa			
MS_111125_001	2025-11-12	90			T	-	90.0	-	P	-	N	89.0													 	2025-11-28		Thanh Hóa - test hệ thống	Review lần 2 qua excel (251128). Phê duyệt trên LIMS (251203)	Back up trên NAS (89o90_20251128)	
mtDNA_297	2025-11-12	90			HQ	-	90.0	-	H	-	N	89.0													 	2025-11-13		Thanh Hóa			
mtDNA_298	2025-11-13	90			QX	-	90.0	-	P	-	N	90.0	-												DONE	2025-11-14		Thanh Hóa			
mtDNA_299	2025-11-13	90			HT	-	90.0	-	H	-	N	87.0													 	2025-11-13		Thanh Hóa			
mtDNA_300	2025-11-14	90			X	-	90.0	-	H	-	N	89.0													 	2025-11-18		Thanh Hóa			
mtDNA_301	2025-11-14	90			Q	-	90.0	-	P	-	N	89.0	1												DONE	2025-11-14	2026-01-15	Thanh Hóa			
mtDNA_302	2025-11-14	90			T	-	90.0	-	P	-	N	88.0													 	2025-11-18		Thanh Hóa			
mtDNA_304	2025-11-17	90			QX	-	90.0	-	P	-	N	88.0													 	2025-11-19		Thanh Hóa			
mtDNA_305	2025-11-17	90			T	-	90.0	-	P	-	N	87.0													 	2025-11-18		Thanh Hóa			
mtDNA_306	2025-11-17	90			H	-	90.0	-	H	-	N	86.0													 	2025-11-18		Thanh Hóa			
mtDNA_307	2025-11-17	90			QX	-	90.0	-	P	-	N	85.0													 	2025-11-19		Thanh Hóa			
MS_121125_001	2025-11-17	90			T	-	90.0	-	P	-	N	86.0													 	2025-11-20		Thanh Hóa - test hệ thống	Phê duyệt trên LIMS	Back up trên NAS  (86o90_20251120)	
mtDNA_308	2025-11-18	90			H	-	90.0	-	H	-	N	87.0													 	2025-11-19		Thanh Hóa			
mtDNA_310	2025-11-19	90			Q	-	90.0	-	H	-	N	89.0													 	2025-11-20		Thanh Hóa			
MS_181125_001	2025-11-19	90			X	-	90.0	-	P	-	N	86.0													 	2025-11-21		Hưng Yên	Phê duyệt trên LIMS	Back up trên NAS  (86o90_20251121)	
MS_171125_002	2025-11-19	90			T	-	90.0	-	P	-	N	89.0													 	2025-11-25		Hưng Yên	Phê duyệt trên LIMS	Back up trên NAS (89o90_20251125)	
mtDNA_311	2025-11-20	90			X	-	90.0	-	H	-	N	88.0													 	2025-11-21		Thanh Hóa			
mtDNA_312	2025-11-20	90			H	-	90.0	-	H	-	N	88.0													 	2025-11-21		Thanh Hóa			
mtDNA_313	2025-11-21	90			TQ	-	90.0	-	H	-	N	87.0													 	2025-11-24		Thanh Hóa			
mtDNA_314	2025-11-21	90			X	-	90.0	-	H	-	N	85.0													 	2025-11-24		Thanh Hóa			
MS_191125_001	2025-11-24	90			HT	-	90.0	-	HT	-	N	87.0													 	2025-11-28		Hưng Yên	Chờ phê duyệt (updated 251205), rv2 qua file compare excel (251128), Phê duyệt trên LIMS (251209)	Back up trên NAS (87o90_20251128)	
MS_191125_002	2025-11-24	90			Q	-	90.0	-	P	-	N	88.0													 	2025-12-01		Hưng Yên	Review lần 1 và 2 trên excel (251201). Phê duyệt trên LIMS (251203)	Back up trên NAS (88o90_20251201)	
MS_191125_003	2025-11-25	90			X	-	90.0	-	H	-	N	90.0	-												DONE	2025-11-28		Hưng Yên	Phê duyệt trên LIMS (update 251204), rv2 qua file compare excel (251128)	Back up trên NAS (90o90_20251128)	
MS_191125_004	2025-11-25	90			Q	-	90.0	-	H	-	N	90.0	-												DONE	2025-11-28		Hưng Yên	Phê duyệt trên LIMS (update 251203), rv2 qua file compare excel (251128)	Back up trên NAS (90o90_20251128)	
MS_211125_001	2025-11-26	90			X	-	90.0	-	H	-	N	90.0	-												DONE	2025-11-28		Hưng Yên	LIMS chưa fix lỗi compare (update 251203???), rv1 trên excel. rv2 trên excel (251201), Phê duyệt trên LIMS (update 251203)	Back up trên NAS (90o90_20251128)	
MS_211125_002	2025-11-28	90			T	-	90.0	-	TH	-	N	85.0													 	2025-12-01		Hưng Yên	Phê duyệt trên LIMS (update 251204), rv1 trên excel,  rv2 trên excel (251201)	Back up trên NAS (85o90_20251201)	
MS_211125_003	2025-11-28	90			Q	-	90.0	-	P	-	N	89.0													 	2025-12-01		Hưng Yên	Review lần 1 và 2 trên excel (251201); Phê duyệt trên LIMS (251203)	Back up trên NAS (89o90_20251201)	
MS_211125_004	2025-11-28	90			X	-	90.0	-	H	-	N	89.0													 	2025-12-04		Hưng Yên	Review lần 1 trên LIMS (251201), phê duyệt trên LIMS (251203)	Back up trên NAS (89o90_251204)	
MS_211125_005	2025-11-28	90			H	-	90.0	-	H	-	N	89.0													 	2025-12-05		Hưng Yên	Review lần 1 trên LIMS (251201), phê duyệt trên LIMS (251205)	Back up trên NAS (89o90_251205)	
MS_211125_006	2025-11-30	90			Q	-	90.0	-	P	-	N	89.0													 	2025-12-02		Hưng Yên	Review lần 1 và 2 trên  excel (251202). Phê duyệt trên LIMS (251203)	Back up trên NAS (89o90_20251202)	
MS_211125_007	2025-11-30	90			T	-	90.0	-	P	-	N	88.0													 	2025-12-02		Hưng Yên	Review lần 1 trên exel (251201), Review lần 2 trên  excel (251202). Phê duyệt trên LIMS (251203)	Back up trên NAS (88o90_20251202)	
MS_211125_008	2025-12-02	90			X	-	90.0	-	P	-	N	87.0													 	2025-12-04		Hưng Yên	Review lần 1 trên exel (251202), Phê duyệt trên LIMS (251204)	Back up trên NAS (87o90_251204)	
MS_251125_001	2025-12-02	90			T	-	90.0	-	P	-	N	88.0													 	2025-12-04		Hưng Yên	Review lần 1 trên exel (251202), Phê duyệt trên LIMS (251204)	Back up trên NAS (88o90_251204)	
MS_251125_002	2025-12-02	90			Q	-	90.0	-	P	-	N	88.0													 	2025-12-04		Hưng Yên	Phê duyệt trên LIMS (251204)	Back up trên NAS (88o90_251204)	
MS_251125_003	2025-12-02	90			T	-	90.0	-	T	-	N	86.0													 	2025-12-09		Hưng Yên	Đã up LIMS (251203), rv1 (excel), rv1 (LIM) (251203)	Back up trên NAS (86o90_251209)	
MS_251125_004	2025-12-02	90			H	-	90.0	-	H	-	N	89.0													 	2025-12-04		Hưng Yên	Review lần 1 trên excel (251202), Đã up LIMS, Phê duyệt trên LIMS (251204)	Back up trên NAS (89o90_251204)	
MS_251125_005	2025-12-02	90			X	-	90.0	-	P	-	N	85.0													 	2025-12-05		Hưng Yên	Review lần 1 trên excel (251204), rv2 excel -> Tải file final lên LIMS, Phê duyệt LIMS (251205)	Back up trên NAS (85o90_251205)	
MS_251125_006	2025-12-04	90			T	-	90.0	-	TH	-	N	90.0	-												DONE	2025-12-05		Hưng Yên	Review lần 1 trên excel (251204), rv2 excel -> Tải file final lên LIMS, Phê duyệt LIMS (251205)	Back up trên NAS (90o90_251205)	
MS_281125_001	2025-12-04	90			QX	-	90.0	-	H	-	N	88.0													 	2025-12-05		Hưng Yên	Review lần 1 trên excel (251205), rv2 excel -> Tải file final lên LIMS, Phê duyệt LIMS (251205)	Back up trên NAS (88o90_251205)	
MS_281125_002	2025-12-04	90			H	-	90.0	-	H	-	N	89.0													 	2025-12-05		Hưng Yên	Review lần 1 trên excel (251204), rv2 excel -> Tải file final lên LIMS, Phê duyệt LIMS (251205)	Back up trên NAS (89o90_251205)	
MS_281125_003	2025-12-05	90			X	-	90.0	-	H	-	N	89.0													 	2025-12-08		Hưng Yên		Back up trên NAS (89o90_251208)	
MS_281125_004	2025-12-05	90			Q	-	90.0	-	H	-	N	88.0													 	2025-12-08		Hưng Yên		Back up trên NAS (88o90_251208)	
MS_281125_005	2025-12-05	90			T	-	90.0	-	H	-	N	79.0													 	2025-12-15		Hưng Yên			
